mode,case,sample,loops,microseconds
C,nested,17,15,73455
C_native,nested,17,15,69468
A_all,nested,17,15,54785
A_guard,nested,17,15,61930
B_naive,nested,17,15,53616
B_guard,class_map,17,1,78799
C,class_map,17,1,104099
C_native,class_map,17,1,95155
A_all,class_map,17,1,82949
A_guard,class_map,17,1,86037
B_naive,class_map,17,1,75526
B_guard,block_map,17,1,291916
C,block_map,17,1,288119
C_native,block_map,17,1,280040
A_all,block_map,17,1,287150
A_guard,block_map,17,1,287674
B_naive,block_map,17,1,395934
B_guard,browser,17,1,152526
C,browser,17,1,143080
C_native,browser,17,1,136984
A_all,browser,17,1,144191
A_guard,browser,17,1,144952
B_naive,browser,17,1,151364
C,constant,18,40,59170
C_native,constant,18,40,60676
A_all,constant,18,40,45760
A_guard,constant,18,40,47948
B_naive,constant,18,40,17052
B_guard,constant,18,40,16842
C,getter,18,8,57793
C_native,getter,18,8,54390
A_all,getter,18,8,49206
A_guard,getter,18,8,48213
B_naive,getter,18,8,44239
B_guard,getter,18,8,44044
C,arithmetic,18,8,57935
C_native,arithmetic,18,8,57552
A_all,arithmetic,18,8,61924
A_guard,arithmetic,18,8,62183
B_naive,arithmetic,18,8,60114
B_guard,arithmetic,18,8,53141
C,nested,18,15,70233
C_native,nested,18,15,70413
A_all,nested,18,15,53770
A_guard,nested,18,15,63886
B_naive,nested,18,15,54849
B_guard,nested,18,15,50415
C,class_map,18,1,85865
C_native,class_map,18,1,89417
A_all,class_map,18,1,78900
A_guard,class_map,18,1,79816
B_naive,class_map,18,1,81235
B_guard,class_map,18,1,70000
C,block_map,18,1,335240
C_native,block_map,18,1,294479
A_all,block_map,18,1,278773
A_guard,block_map,18,1,280266
B_naive,block_map,18,1,397692
B_guard,block_map,18,1,294625
C,browser,18,1,153335
C_native,browser,18,1,139757
A_all,browser,18,1,137314
A_guard,browser,18,1,137139
B_naive,browser,18,1,154556
B_guard,browser,18,1,143646
C_native,constant,19,40,61183
A_all,constant,19,40,45686
A_guard,constant,19,40,51037
B_naive,constant,19,40,16904
B_guard,constant,19,40,17156
C,constant,19,40,60399
C_native,getter,19,8,56640
A_all,getter,19,8,58309
A_guard,getter,19,8,49689
B_naive,getter,19,8,47548
B_guard,getter,19,8,49706
C,getter,19,8,60550
C_native,arithmetic,19,8,63888
A_all,arithmetic,19,8,60044
A_guard,arithmetic,19,8,57258
B_naive,arithmetic,19,8,56471
B_guard,arithmetic,19,8,51663
C,arithmetic,19,8,57215
C_native,nested,19,15,71283
A_all,nested,19,15,55008
A_guard,nested,19,15,61859
B_naive,nested,19,15,55378
B_guard,nested,19,15,51502
C,nested,19,15,72602
C_native,class_map,19,1,87895
A_all,class_map,19,1,77425
A_guard,class_map,19,1,95292
B_naive,class_map,19,1,87779
B_guard,class_map,19,1,79373
C,class_map,19,1,84768
C_native,block_map,19,1,288697
A_all,block_map,19,1,279026
A_guard,block_map,19,1,308675
B_naive,block_map,19,1,439792
B_guard,block_map,19,1,314307
C,block_map,19,1,300506
C_native,browser,19,1,150745
A_all,browser,19,1,143546
A_guard,browser,19,1,196086
B_naive,browser,19,1,145055
B_guard,browser,19,1,155823
C,browser,19,1,153528
A_all,constant,20,40,48173
A_guard,constant,20,40,50018
B_naive,constant,20,40,17467
B_guard,constant,20,40,17693
C,constant,20,40,61513
C_native,constant,20,40,77265
A_all,getter,20,8,59012
A_guard,getter,20,8,51540
B_naive,getter,20,8,47460
B_guard,getter,20,8,45745
C,getter,20,8,62978
C_native,getter,20,8,59387
A_all,arithmetic,20,8,56404
A_guard,arithmetic,20,8,54723
B_naive,arithmetic,20,8,51493
B_guard,arithmetic,20,8,50588
C,arithmetic,20,8,64759
C_native,arithmetic,20,8,58518
A_all,nested,20,15,54060
A_guard,nested,20,15,61182
B_naive,nested,20,15,54607
B_guard,nested,20,15,50761
C,nested,20,15,70071
C_native,nested,20,15,75309
A_all,class_map,20,1,78444
A_guard,class_map,20,1,78637
B_naive,class_map,20,1,79410
B_guard,class_map,20,1,69282
C,class_map,20,1,84960
C_native,class_map,20,1,93988
A_all,block_map,20,1,274843
A_guard,block_map,20,1,275994
B_naive,block_map,20,1,407619
B_guard,block_map,20,1,304644
C,block_map,20,1,306324
C_native,block_map,20,1,295753
A_all,browser,20,1,156894
A_guard,browser,20,1,140793
B_naive,browser,20,1,166614
B_guard,browser,20,1,152607
C,browser,20,1,139333
C_native,browser,20,1,140037
A_guard,constant,21,40,48461
B_naive,constant,21,40,17474
B_guard,constant,21,40,16918
C,constant,21,40,60273
C_native,constant,21,40,59814
A_all,constant,21,40,46609
A_guard,getter,21,8,48905
B_naive,getter,21,8,44299
B_guard,getter,21,8,44110
C,getter,21,8,55077
C_native,getter,21,8,51704
A_all,getter,21,8,48856
A_guard,arithmetic,21,8,54644
B_naive,arithmetic,21,8,52037
B_guard,arithmetic,21,8,124882
C,arithmetic,21,8,67451
C_native,arithmetic,21,8,69582
A_all,arithmetic,21,8,61876
A_guard,nested,21,15,61310
B_naive,nested,21,15,53254
B_guard,nested,21,15,50976
C,nested,21,15,75742
C_native,nested,21,15,80160
A_all,nested,21,15,55781
A_guard,class_map,21,1,94598
B_naive,class_map,21,1,74661
B_guard,class_map,21,1,68516
C,class_map,21,1,99274
C_native,class_map,21,1,84985
A_all,class_map,21,1,74209
A_guard,block_map,21,1,283525
B_naive,block_map,21,1,414829
B_guard,block_map,21,1,296803
C,block_map,21,1,297283
C_native,block_map,21,1,281165
A_all,block_map,21,1,277585
A_guard,browser,21,1,139066
B_naive,browser,21,1,142310
B_guard,browser,21,1,140535
C,browser,21,1,137488
C_native,browser,21,1,139232
A_all,browser,21,1,138378
B_naive,constant,22,40,16900
B_guard,constant,22,40,16928
C,constant,22,40,59493
C_native,constant,22,40,61779
A_all,constant,22,40,45739
A_guard,constant,22,40,48340
B_naive,getter,22,8,54266
B_guard,getter,22,8,64407
C,getter,22,8,51772
C_native,getter,22,8,54086
A_all,getter,22,8,48970
